id,date,prix,ville,nombre_lots,lot1_surface1,lot2_surface1,lot3_surface1,lot4_surface1,lot5_surface1,type,surface2,nombre_pieces,nature_culture,surface_terrain
128,2019-11-29,60000.0,D,1,8.7,,,,,Dépendance,,0.0,,
129,2019-03-13,1004831.0,D,1,106.05,,,,,Appartement,103.0,3.0,,
130,2016-03-15,535200.0,D,2,53.85,,,,,Appartement,55.0,2.0,,
131,2017-02-04,105000.0,A,0,,,,,,Maison,98.0,4.0,sols,853.0
132,2017-07-12,960000.0,D,2,91.36,,,,,Appartement,89.0,5.0,,
133,2017-10-30,65000.0,A,0,,,,,,Maison,93.0,6.0,sols,540.0
134,2017-05-31,160000.0,B,0,,,,,,Maison,132.0,4.0,sols,471.0
135,2015-06-09,30000.0,C,1,71.34,,,,,Local industriel. commercial ou assimilé,74.0,0.0,,
136,2017-05-17,483500.0,D,1,53.35,,,,,Local industriel. commercial ou assimilé,53.0,0.0,,
137,2015-03-19,1305050.0,D,3,153.62,,,,,Appartement,143.0,6.0,,
138,2015-07-28,2126379.69,D,2,192.26,,,,,Appartement,193.0,6.0,,
139,2019-05-27,50000.0,C,1,,,,,,Local industriel. commercial ou assimilé,328.0,0.0,,
140,2019-09-09,2000000.0,D,1,152.9,,,,,Appartement,138.0,6.0,,
141,2019-05-21,732500.0,C,1,58.93,,,,,Appartement,68.0,2.0,,
142,2018-03-17,110000.0,B,0,,,,,,Maison,112.0,6.0,sols,406.0
143,2018-04-26,200000.0,D,2,59.78,,,,,Appartement,59.0,3.0,,
144,2019-11-18,1261000.0,C,1,90.1,,,,,Appartement,90.0,2.0,,
145,2016-07-05,24000.0,B,1,,,,,,Dépendance,,0.0,,
146,2018-05-09,470000.0,C,2,,29.54,,,,Appartement,27.0,1.0,,
147,2018-10-30,52000.0,B,1,74.72,,,,,Appartement,74.0,5.0,,
148,2017-06-01,16975000.0,D,0,,,,,,Maison,570.0,14.0,sols,913.0
149,2019-10-04,168500.0,B,0,,,,,,Maison,55.0,3.0,sols,191.0
150,2016-10-21,27302.0,B,0,,,,,,Maison,64.0,3.0,sols,168.0
151,2017-05-24,160000.0,B,0,,,,,,Maison,89.0,4.0,sols,339.0
152,2017-10-20,770000.0,D,2,,,,,,Appartement,75.0,3.0,,
153,2015-01-21,80000.0,B,2,,,,,,Appartement,52.0,2.0,,
154,2015-12-29,570000.0,D,2,,,,,,Appartement,72.0,3.0,,
155,2018-04-20,100000.0,D,1,12.93,,,,,Dépendance,,0.0,,
156,2019-09-26,320000.0,B,3,,84.54,11.8,,,Local industriel. commercial ou assimilé,93.0,0.0,,
157,2017-10-13,155000.0,B,0,,,,,,Local industriel. commercial ou assimilé,275.0,0.0,sols,145.0
158,2019-02-26,101950.0,B,2,,61.95,,,,Appartement,62.0,3.0,,
159,2017-06-09,462150.0,D,2,,40.82,,,,Appartement,48.0,2.0,,
160,2017-01-23,2385756.0,C,2,177.9,,,,,Appartement,184.0,4.0,,
161,2016-03-19,131000.0,A,0,,,,,,Maison,103.0,4.0,sols,580.0
162,2017-02-09,596762.0,D,2,64.73,,,,,Appartement,61.0,3.0,,
163,2015-12-31,51000.0,B,1,76.64,,,,,Appartement,90.0,3.0,,
164,2018-10-19,28000.0,C,1,,,,,,Appartement,61.0,2.0,,
165,2019-12-09,520000.0,C,2,40.19,,,,,Appartement,39.0,2.0,,
166,2016-05-30,133000.0,A,0,,,,,,Maison,103.0,6.0,sols,615.0
167,2019-08-23,630000.0,D,2,,,,,,Appartement,57.0,2.0,,
168,2019-07-22,100000.0,C,1,12.07,,,,,Dépendance,,0.0,,
169,2016-09-13,380000.0,C,2,44.64,,,,,Appartement,42.0,3.0,,
170,2015-01-26,6000.0,A,0,,,,,,Dépendance,,0.0,sols,189.0
171,2019-07-11,7325000.0,D,0,,,,,,Local industriel. commercial ou assimilé,342.0,0.0,sols,365.0
172,2018-06-04,1130000.0,D,2,119.94,,,,,Local industriel. commercial ou assimilé,120.0,0.0,,
173,2015-05-04,110000.0,A,0,,,,,,Maison,108.0,6.0,sols,829.0
174,2019-02-08,41325.0,B,2,,28.07,,,,Appartement,28.0,1.0,,
175,2018-03-12,150000.0,C,1,11.67,,,,,Dépendance,,0.0,,
176,2015-08-19,126000.0,D,1,14.25,,,,,Appartement,17.0,1.0,,
177,2015-03-06,43000.0,B,2,59.48,,,,,Appartement,59.0,3.0,,
178,2018-04-17,100000.0,B,0,,,,,,Maison,70.0,5.0,sols,70.0
179,2015-11-17,285000.0,B,0,,,,,,Local industriel. commercial ou assimilé,120.0,0.0,sols,64.0
180,2015-10-22,190000.0,B,1,86.8,,,,,Appartement,93.0,4.0,,
181,2019-01-24,565000.0,D,2,,41.0,,,,Appartement,42.0,2.0,,
182,2018-12-06,410550.0,C,2,36.79,,,,,Appartement,36.0,1.0,,
183,2015-11-06,520000.0,D,1,49.8,,,,,Appartement,49.0,2.0,,
184,2018-09-15,64000.0,B,2,,,,,,Appartement,62.0,2.0,,
185,2017-02-28,380000.0,D,1,34.75,,,,,Appartement,35.0,1.0,,
186,2019-04-29,1290000.0,D,2,122.48,,,,,Appartement,123.0,3.0,,
187,2019-09-18,1496900.0,C,2,117.35,,,,,Appartement,110.0,3.0,,
188,2016-07-13,1526300.0,C,1,148.93,,,,,Appartement,149.0,6.0,,
189,2015-08-11,71000.0,B,2,49.08,,,,,Appartement,52.0,2.0,,
190,2017-07-27,680000.0,D,3,,,,,,Appartement,87.0,4.0,,
191,2016-07-29,80000.0,B,1,67.46,,,,,Appartement,67.0,3.0,,
192,2015-03-06,17000.0,D,1,,,,,,Dépendance,,0.0,,
193,2018-05-15,395000.0,C,1,34.72,,,,,Appartement,33.0,1.0,,
194,2019-07-09,4544600.0,D,0,,,,,,Maison,234.0,10.0,sols,90.0
195,2015-10-16,20000.0,C,1,6.86,,,,,Dépendance,,0.0,,
196,2016-04-18,270200.0,D,2,32.91,,,,,Appartement,30.0,2.0,,
197,2015-09-29,360000.0,D,1,,,,,,Local industriel. commercial ou assimilé,35.0,0.0,,
198,2017-02-03,17000.0,B,1,,,,,,Dépendance,,0.0,,
199,2019-03-29,1154300.0,D,2,,,,,,Appartement,98.0,3.0,,
200,2017-09-27,700000.0,D,2,101.89,,,,,Appartement,90.0,2.0,,
201,2019-03-12,50000.0,D,1,,,,,,Dépendance,,0.0,,
202,2015-12-10,84385.0,D,1,,,,,,Appartement,48.0,1.0,,
203,2015-11-27,1181000.0,D,2,129.72,,,,,Appartement,139.0,5.0,,
204,2018-08-02,360000.0,C,1,28.76,,,,,Appartement,30.0,1.0,,
205,2019-01-29,327000.0,D,2,28.65,,,,,Appartement,28.0,2.0,,
206,2015-09-15,130000.0,B,0,,,,,,Maison,57.0,4.0,sols,424.0
